day,os_name,country,events,campaign_id,creative_id_network,creative_network,ad_id,ad_name,spend,installs,revenue,impressions_adjust,clicks_adjust,impressions,clicks,视频播放进度25%次数,视频播放进度50%次数,视频平均播放时长
2026/2/9,android,BR,0,120239366594720510,120239366594760510,PIC30-世界观2-Vincent-英语,120239366594760510,PIC30-世界观2-Vincent-英语,6.01,6,0,0,0,2491,72,9,4,1
2026/2/9,android,BR,0,120239366594720510,120239423107450510,PIC五图05-英语,120239423107450510,PIC五图05-英语,3.11,6,0,0,0,1687,24,4,2,1
2026/2/9,android,KR,0,6931593682152,6941085524752,VID11-合成角色展示-Vincent-韩语,,,0,6,0,0,0,0,0,0,0,0
2026/2/9,android,TW,0,6939195938352,6939210114152,PIC18-合成加特林-Vincent-繁中,,,0,6,0,0,0,0,0,0,0,0
2026/2/9,android,TW,0,6939217868352,6939219987752,VID12-英雄展示1-Abbey-通用,,,0,6,0,0,0,0,0,0,0,0
2026/2/9,android,US,0,120238607155630510,120239357471660510,PIC21-合成火法师-Vincent-英语,120239357471660510,PIC21-合成火法师-Vincent-英语,40.88,6,0,0,0,3794,62,0,0,0
2026/2/10,android,BR,0,120239366594720510,120239366594880510,PIC23-合成犀牛-Vincent-英语,120239366594880510,PIC23-合成犀牛-Vincent-英语,0.02,6,0,0,0,12,0,0,0,0
2026/2/10,android,KR,0,6931593682152,6939193162952,VID18-角色展示轮播-Vincent-韩语,,,0,6,0,0,0,0,0,0,0,0
2026/2/10,android,KR,0,120241467475180572,120241486390100572,PIC05-合成祭司-Vincent-韩语,,,0,6,0,0,0,0,0,0,0,0
2026/2/10,android,KR,0,120241467475180572,120241467560440572,PIC五图01-韩语,,,0,6,0,0,0,0,0,0,0,0
2026/2/10,android,TW,0,6939217868352,6941443781952,PIC32-机械族阵容-Vincent-繁中,,,0,6,0,0,0,0,0,0,0,0
2026/2/10,android,TW,0,6941413175152,6941413183752,PIC21-合成火法师-Vincent-繁中,,,0,6,0,0,0,0,0,0,0,0
2026/2/10,android,TW,0,6941413175152,6941413182552,PIC35-横版海报-Vincent-通用,,,0,6,0,0,0,0,0,0,0,0
2026/2/10,android,US,0,6970072321780,6970323092180,PIC34-神族阵容-Vincent-英语,,,0,6,0,0,0,0,0,0,0,0
2026/2/10,android,US,0,120238607155630510,120239422701180510,PIC五图04-英语,,,0,6,0,0,0,0,0,0,0,0
2026/2/10,android,US,0,120238648236360510,120239358530950510,VID19-角色展示轮播2-Vincent-英语,120239358530950510,VID19-角色展示轮播2-Vincent-英语,100.02,6,0,0,0,4601,96,788,515,3
2026/2/10,android,US,0,120238648236360510,120239504948630510,VID26-魔族失败胜利-Vincent-英语,120239504948630510,VID26-魔族失败胜利-Vincent-英语,38.8,6,0,0,0,2145,29,119,78,3
2026/2/10,android,US,0,120238648236360510,120239358530980510,VID16-阵容组合-Abbey-英语,120239358530980510,VID16-阵容组合-Abbey-英语,11.1,6,0,0,0,402,12,70,43,4
2026/2/11,android,US,0,120238648236360510,120239358530960510,VID22-选择+闯关-Vincent-英语,,,0,6,0,0,0,0,0,0,0,0
2026/2/12,android,BR,0,120239366594720510,120239366594860510,PIC21-合成火法师-Vincent-英语,,,0,6,0,0,0,0,0,0,0,0
2026/2/3,android,ID,0,120238770649640510,120239024373250510,PIC21-合成火法师-Vincent-英语,120239024373250510,PIC21-合成火法师-Vincent-英语,11.41,5,0,0,0,16883,458,0,0,0
2026/2/9,android,BR,0,120239366594720510,120239531611030510,PIC18-合成加特林-Vincent-英语,120239531611030510,PIC18-合成加特林-Vincent-英语,4.67,5,0,0,0,3235,46,0,0,1
2026/2/9,android,BR,0,120239366594720510,120239423626760510,PIC五图06-英语,120239423626760510,PIC五图06-英语,4.21,5,0,0,0,1469,81,16,9,3
2026/2/9,android,KR,0,6931591409752,6939853826752,PIC五图03-韩语,,,0,5,0,0,0,0,0,0,0,0
