date,account_id,ad_id,ad_name,spend,impressions,clicks,视频播放进度25%次数,视频播放进度50%次数,视频平均播放时长
2026-02-09,1384270166683478,6939191253752,PIC15-4级巨魔-Vincent-韩语,17.44,1868,22,4.0,3.0,1.0
2026-02-09,1384270166683478,6939192111152,PIC22-合成蛇女-Vincent-韩语,9.4,1078,9,0.0,0.0,1.0
2026-02-09,1384270166683478,6939192111552,PIC18-合成加特林-Vincent-韩语,244.26,19875,393,5.0,2.0,1.0
2026-02-09,1384270166683478,6939192111752,PIC19-合成修理师-Vincent-韩语,58.14,4298,75,1.0,0.0,1.0
2026-02-09,1384270166683478,6939192111952,PIC20-合成厨师长-Vincent-韩语,16.48,1085,25,0.0,0.0,0.0
2026-02-09,1384270166683478,6939192112152,PIC21-合成火法师-Vincent-韩语,5.2,716,5,0.0,0.0,1.0
2026-02-09,1384270166683478,6939192224152,PIC23-合成犀牛-Vincent-韩语,7.98,576,10,0.0,0.0,0.0
2026-02-09,1384270166683478,6939192289152,PIC34-神族阵容-Vincent-韩语,11.08,1947,20,16.0,13.0,3.0
2026-02-09,1384270166683478,6939192289552,PIC29-世界观-Vincent-韩语,54.79,6910,88,4.0,2.0,5.0
2026-02-09,1384270166683478,6939192289752,PIC30-世界观2-Vincent-韩语,24.77,1697,30,8.0,4.0,2.0
2026-02-09,1384270166683478,6939192289952,PIC32-机械族阵容-Vincent-韩语,8.2,1877,15,13.0,12.0,5.0
2026-02-09,1384270166683478,6939192290152,PIC33-魔族阵容-Vincent-韩语,2.39,546,8,5.0,2.0,2.0
2026-02-09,1384270166683478,6939192777152,VID19-角色展示轮播2-Vincent-韩语,0.0,1,0,0.0,0.0,0.0
2026-02-09,1384270166683478,6939193162952,VID18-角色展示轮播-Vincent-韩语,298.8,21360,429,3587.0,2436.0,3.0
2026-02-09,1384270166683478,6939193287552,VID12-英雄展示1-Abbey-通用,53.46,6563,124,1854.0,1388.0,5.0
2026-02-09,1384270166683478,6939193504352,VID11-合成角色展示-Vincent-韩语,317.21,18147,605,7266.0,6624.0,8.0
2026-02-09,1384270166683478,6939193504952,VID17-魔王阵容-Vincent-韩语,2.51,99,7,14.0,12.0,3.0
2026-02-09,1384270166683478,6939195939752,PIC17-4级巫妖-Vincent-繁中,5.32,404,12,2.0,1.0,2.0
2026-02-09,1384270166683478,6939195940552,PIC13-4级厨师长-Vincent-繁中,7.22,569,10,6.0,6.0,3.0
2026-02-09,1384270166683478,6939195940752,PIC14-4级佛耶哥-Vincent-繁中,13.05,609,13,12.0,3.0,2.0
2026-02-09,1384270166683478,6939195940952,PIC16-4级蛇女-Vincent-繁中,7.43,533,11,0.0,0.0,0.0
2026-02-09,1384270166683478,6939195941952,PIC15-4级巨魔-Vincent-繁中,14.51,1178,17,10.0,3.0,1.0
2026-02-09,1384270166683478,6939210113952,PIC22-合成蛇女-Vincent-繁中,1.68,166,3,0.0,0.0,0.0
2026-02-09,1384270166683478,6939210114152,PIC18-合成加特林-Vincent-繁中,23.3,1779,54,0.0,0.0,0.0
2026-02-09,1384270166683478,6939210114352,PIC19-合成修理师-Vincent-繁中,44.02,3446,117,0.0,0.0,0.0
2026-02-09,1384270166683478,6939210114552,PIC20-合成厨师长-Vincent-繁中,0.71,152,3,0.0,0.0,0.0
2026-02-09,1384270166683478,6939210114752,PIC21-合成火法师-Vincent-繁中,19.1,1882,58,1.0,1.0,3.0
2026-02-09,1384270166683478,6939214269552,PIC29-世界观-Vincent-繁中,14.34,768,46,5.0,3.0,4.0
2026-02-09,1384270166683478,6939214269752,PIC30-世界观2-Vincent-繁中,17.96,1082,48,28.0,18.0,4.0
2026-02-09,1384270166683478,6939214269952,PIC32-机械族阵容-Vincent-繁中,21.83,1174,59,13.0,11.0,3.0
2026-02-09,1384270166683478,6939214270152,PIC33-魔族阵容-Vincent-繁中,3.14,283,12,2.0,1.0,3.0
2026-02-09,1384270166683478,6939214270352,PIC34-神族阵容-Vincent-繁中,14.95,882,37,11.0,7.0,2.0
2026-02-09,1384270166683478,6939214283552,PIC23-合成犀牛-Vincent-繁中,19.0,1244,34,0.0,0.0,0.0
2026-02-09,1384270166683478,6939216112352,PIC04-合成场景版-Vincent-繁中,28.37,1760,53,0.0,0.0,0.0
2026-02-09,1384270166683478,6939216112552,PIC06-立绘卡牌展示-Vincent-繁中,28.68,1575,84,0.0,0.0,0.0
2026-02-09,1384270166683478,6939216112752,PIC11-战斗PVE-Vincent-繁中,16.77,860,41,0.0,0.0,0.0
2026-02-09,1384270166683478,6939216113152,PIC08-升级进化-Vincent-繁中,11.03,1263,23,0.0,0.0,0.0
2026-02-09,1384270166683478,6939217869352,VID11-合成角色展示-Vincent-繁中,10.06,473,19,66.0,56.0,3.0
2026-02-09,1384270166683478,6939219987752,VID12-英雄展示1-Abbey-通用,64.95,4170,118,692.0,522.0,3.0
2026-02-09,1384270166683478,6939220131752,VID15-卡牌滚动-Abbey-繁中,7.38,323,7,75.0,60.0,4.0
2026-02-09,1384270166683478,6939220323352,VID18-角色展示轮播-Vincent-繁中,11.66,631,20,73.0,51.0,2.0
2026-02-09,1384270166683478,6939220323752,VID19-角色展示轮播2-Vincent-繁中,14.64,1018,22,131.0,92.0,2.0
2026-02-09,1384270166683478,6939220724952,VID10-选择英雄+战斗-Vincent,75.3,6614,133,893.0,723.0,4.0
2026-02-09,1384270166683478,6939220725752,VID26-魔族失败胜利-Vincent-繁中,2.56,134,4,22.0,12.0,4.0
2026-02-09,1384270166683478,6939223232952,VID24-DMG战斗2-Vincent-韩语,53.71,4026,114,1208.0,1034.0,7.0
2026-02-09,1384270166683478,6939743275152,VID25-合成合成合成-Vincent-繁中,2.13,104,0,41.0,22.0,10.0
2026-02-09,1384270166683478,6939743275352,VID23-英雄升级战斗-Vincent-繁中,11.4,413,7,65.0,34.0,5.0
2026-02-09,1384270166683478,6939743275552,VID22-选择+闯关-Vincent-繁中,55.4,2716,63,657.0,586.0,6.0
2026-02-09,1384270166683478,6939743275752,VID21-神族战斗-Vincent-繁中,14.41,591,16,151.0,136.0,6.0
2026-02-09,1384270166683478,6939743637352,VID23-英雄升级战斗-Vincent-韩语,45.42,3973,84,940.0,553.0,7.0
2026-02-09,1384270166683478,6939743637552,VID22-选择+闯关-Vincent-韩语,66.47,4270,62,899.0,786.0,5.0
2026-02-09,1384270166683478,6939853825752,PIC五图04-韩语,26.51,5649,44,0.0,0.0,0.0
