day,os_name,country,events,campaign_id,creative_id_network,creative_network,account_id,ad_id,ad_name,spend,installs,revenue,impressions_adjust,clicks_adjust,impressions,clicks,视频播放进度25%次数,视频播放进度50%次数,视频平均播放时长,match_prio
2026/2/10,android,KR,0,120241467475180572,120241467574950572,PIC16-4级蛇女-Vincent-韩语,898128255870755,120241467574950572,PIC16-4级蛇女-Vincent-韩语,6.03,0,0,641,11,641,11,0,0,0,1
2026/2/10,android,KR,0,120241467475180572,120241467560440572,PIC五图01-韩语,898128255870755,120241467560440572,PIC五图01-韩语,61.52,0,0,4608,102,4608,102,1,0,1,1
2026/2/9,android,US,0,6970072321780,6970282527980,VID22-选择+闯关-Vincent-英语,2394784647636894,6970282527980,VID22-选择+闯关-Vincent-英语,36.62,0,0,1366,30,1366,30,303,284,7,1
2026/2/10,android,BR,0,120239366594720510,120239366594730510,PIC17-4级巫妖-Vincent-英语,,,,0,8,0,0,0,0,0,0,0,0,1
2026/2/10,android,,0,,unknown,unknown,,,,0,8,0,0,0,0,0,0,0,0,1
2026/2/11,android,BR,0,120239366394730510,120239409035370510,VID25-合成合成合成-Vincent-英语,,,,0,8,0,0,0,0,0,0,0,0,1
2026/2/3,android,,0,,unknown,unknown,,,,0,7,0,0,0,0,0,0,0,0,1
2026/2/10,android,BR,0,120239366594720510,120239366594850510,PIC20-合成厨师长-Vincent-英语,1379725066317604,120239366594850510,PIC20-合成厨师长-Vincent-英语,0.06,0,0,32,1,32,1,0,0,0,1
2026/2/10,android,BR,0,120239366594720510,120239366594860510,PIC21-合成火法师-Vincent-英语,1379725066317604,120239366594860510,PIC21-合成火法师-Vincent-英语,0.23,0,0,290,3,290,3,0,0,0,1
2026/2/10,android,BR,0,120239366594720510,120239366594870510,PIC22-合成蛇女-Vincent-英语,1379725066317604,120239366594870510,PIC22-合成蛇女-Vincent-英语,0.02,0,0,3,1,3,1,0,0,0,1
2026/2/10,android,BR,0,120239366594720510,120239366594880510,PIC23-合成犀牛-Vincent-英语,1379725066317604,120239366594880510,PIC23-合成犀牛-Vincent-英语,0.02,0,0,12,0,12,0,0,0,0,1
2026/2/10,android,BR,0,120239366594720510,120239366594800510,PIC32-机械族阵容-Vincent-英语,1379725066317604,120239366594800510,PIC32-机械族阵容-Vincent-英语,0.02,0,0,15,0,15,0,0,0,1,1
2026/2/10,android,BR,0,120239366594720510,120239366594810510,PIC33-魔族阵容-Vincent-英语,1379725066317604,120239366594810510,PIC33-魔族阵容-Vincent-英语,0.07,0,0,36,0,36,0,0,0,0,1
2026/2/10,android,BR,0,120239366594720510,120239366594740510,PIC34-神族阵容-Vincent-英语,1379725066317604,120239366594740510,PIC34-神族阵容-Vincent-英语,0.07,0,0,32,1,32,1,0,0,0,1
2026/2/10,android,BR,0,120239366594720510,120239423107430510,PIC五图02-英语,1379725066317604,120239423107430510,PIC五图02-英语,0,0,0,2,0,2,0,0,0,1,1
2026/2/10,android,BR,0,120239366594720510,120239423107460510,PIC五图04-英语,1379725066317604,120239423107460510,PIC五图04-英语,0.47,0,0,428,13,428,13,0,0,1,1
2026/2/10,android,BR,0,120239366594720510,120239423107450510,PIC五图05-英语,1379725066317604,120239423107450510,PIC五图05-英语,0.01,0,0,1,0,1,0,0,0,0,1
2026/2/10,android,KR,0,6931591409752,6931593368752,PIC04-合成场景版-Vincent-韩语,1384270166683478,6931593368752,PIC04-合成场景版-Vincent-韩语,10.82,0,0,1300,20,1300,20,0,0,0,1
